question_id,expected_drug,expected_file,expected_page,evidence_found_on_expected_page,evidence_excerpt,audit_status,notes
1,metformin,egypt_endocrine_formulary_2024.pdf,31,True,"Egyptian National Formulary -Endocrine system Metformin Generic Name Metformin Dosage form/strengths Tablets: 500mg, 850mg, 1000mg Oral Solution: 500 mg/5ml Modified Release Tablet: 500mg, 850mg, 1000",VALID,Evidence confirmed on page 31 (3 chunks).
2,sildenafil,egypt_cardiovascular_formulary_2024.pdf,69,True,"Egyptian National Formulary -Cardiovascular system Isosorbide dinitrate Generic Name Isosorbide dinitrate Dosage form/strengths Sublingual Tablet 5mg, 10mg Capsules: 20mg, 40mg Tablet 5mg, 10mg, Table",VALID,Evidence confirmed on page 69 (3 chunks).
3,dexamethasone,egypt_endocrine_formulary_2024.pdf,153,True,Egyptian National Formulary -Endocrine system Cushingoid features/Cushing syndrome: onset: delayed; may develop within the first 2 months of dexamethasone therapy. GI effects Hyperglycemia: may provok,VALID,Evidence confirmed on page 153 (3 chunks).
4,propranolol,egypt_cardiovascular_formulary_2024.pdf,136,True,"Egyptian National Formulary -Cardiovascular system Dosing: Older Adult Refer to the adult dosage. Consider lower initial doses. Dosing: Pediatric Cardiac Arrhythmias, Thyrotoxicosis, Thyrotoxic crisis",VALID,Evidence confirmed on page 136 (3 chunks).
5,warfarin,egypt_blood_disorders_formulary_2025.pdf,68,True,Egyptian National Blood disorders Formulary transcatheter aortic valve replacement (TAVR). Not studied. Patients with antiphospholipid syndrome. Rivaroxaban is not recommended for patients with a hist,VALID,Evidence confirmed on page 68 (3 chunks).
6,omeprazole,egypt_gastrointestinal_formulary_2025.pdf,74,True,"Egyptian National Drug Formulary GIT medicines Code: Proton Pump Inhibitors Esomeprazole Generic Name Esomeprazole Dosage Form/ Strengths • Tablet or gastro-resistant tablet: 20 mg, 40 mg. • Enteric-c",VALID,Evidence confirmed on page 74 (2 chunks).
7,methotrexate,egypt_conventional_anticancer_formulary_2024.pdf,77,True,Egyptian National Formulary- Conventional Anticancer Drugs Code EDA.DUPP. Formulary.003 week. High dose regimen between 1 to 12 g/m2 (IV. 1-6 h) repeated every 1-3 weeks. ─ Intrathecal: 12 to 15 mg (m,VALID,Evidence confirmed on page 77 (3 chunks).
8,insulin,egypt_high_alert_medications_2025.pdf,11,True,"Title: National Egyptian High Alert Medication List Version/Year : 2025 10 High Alert Medication List 2 Chemotherapeutic agents, excluding hormonal therapy 3 Oral and parenteral chemotherapy (e.g., ca",VALID,Evidence confirmed on page 11 (2 chunks).
9,extended_release,egypt_do_not_crush_medications_2026.pdf,1,True,Central Administration of Pharmaceutical Care General Administration of Drug Utilization and Pharmacy Practice Title: Egyptian Don't Crush Medication List Code: EDREX: NDL.CAP.care.005 Version /year: ,VALID,Evidence confirmed on page 1 (1 chunks).
10,paracetamol,egypt_otc_drug_list_2026.pdf,12,True,Panadol Cold & Flu Day Paracetamol /Caffeine /Phenylephrine Hydrochloride Film Coated Tablets 500 mg /25 mg/5 mg As in insert leaflet in adults and children aged 16 years and over Carton box containin,VALID,Evidence confirmed on page 12 (7 chunks).
11,amoxicillin,egypt_antimicrobial_formulary_2023.pdf,371,True,"Dosing: Hepatic Impairment: There are no dosage adjustments needed. Contraindications Serious hypersensitivity to amoxicillin or to other beta-lactams, or any component of the formulation Adverse Drug",VALID,Evidence confirmed on page 371 (3 chunks).
