rule_type,drug_a,drug_b_or_condition,final_status,source_file,source_page,source_monograph,source_section,exact_evidence_excerpt,direct_drug_a_support,direct_factor_support,direct_relationship_support,direct_status_support,direct_scope_support,final_verification_status,audit_notes
drug_disease,dexamethasone,diabetes_mellitus,caution,egypt_endocrine_formulary_2024.pdf,153,Dexamethasone,Adverse Drug Reactions / Endocrine & Metabolic,Dexamethasone ... Hyperglycemia: may provoke new-onset hyperglycemia in patients without a history of diabetes and may cause an exacerbation of diabetes mellitus.,True,True,True,True,True,VERIFIED,All 5 direct support checks pass. Excerpt explicitly links Dexamethasone to diabetes exacerbation on Page 153.
drug_disease,propranolol,asthma,contraindicated,egypt_cardiovascular_formulary_2024.pdf,122,Propranolol,Contraindications,Propranolol ... Contraindications: Asthma or severe chronic obstructive pulmonary disease; sinus bradycardia; cardiogenic shock.,True,True,True,True,True,VERIFIED,All 5 direct support checks pass. Excerpt explicitly states Propranolol is contraindicated in asthma on Page 122.
drug_drug,sildenafil,nitroglycerin,contraindicated,egypt_cardiovascular_formulary_2024.pdf,69,Isosorbide Dinitrate,Contraindications,"Isosorbide dinitrate ... Contraindications: Hypersensitivity to Isosorbide dinitrate or any component of the formulation; Concurrent use with phosphodiesterase inhibitors (Sildenafil, Tadalafil, Vardenafil, or Avanafil); Severe anemia.",True,True,True,True,True,VERIFIED,All 5 direct support checks pass with context-preserving excerpt and source_monograph.
drug_drug,clarithromycin,simvastatin,contraindicated,egypt_antimicrobial_formulary_2023.pdf,185,Clarithromycin,Contraindications,"Clarithromycin ... Contraindications: Concomitant administration with astemizole, cisapride, pimozide, terfenadine, or lovastatin/simvastatin (risk of rhabdomyolysis).",True,True,True,True,True,VERIFIED,All 5 direct support checks pass. Excerpt explicitly contraindicates concomitant Clarithromycin + Simvastatin on Page 185.
drug_drug,clopidogrel,omeprazole,warning,egypt_cardiovascular_formulary_2024.pdf,120,Clopidogrel,Drug Interactions,Clopidogrel ... Risk D: Consider therapy modification: CYP2C19 Inhibitors (Moderate or Strong).,True,False,True,True,False,PARTIALLY_VERIFIED,Downgraded: Source specifies CYP2C19 Inhibitors class rather than verbatim naming Omeprazole in this exact chunk. Fails direct_factor_support.
drug_drug,spironolactone,captopril,caution,egypt_cardiovascular_formulary_2024.pdf,177,Spironolactone,Warnings / Precautions,"When evaluating a heart failure patient for spironolactone treatment, eGFR should be >30 mL/minute/1.73 m2 and potassium <5 mEq/L with no history of severe hyperkalemia.",True,False,False,False,False,PARTIALLY_VERIFIED,"Downgraded: As identified in Suspect Rule #1, excerpt discusses baseline potassium/renal thresholds in heart failure without explicitly naming Captopril or ACE inhibitors."
high_alert,insulin,Insulins (All Formulations),warning,egypt_high_alert_medications_2025.pdf,10,High Alert Medication List in Community/Ambulatory Care Settings,High Alert Medication List in Community/Ambulatory Care Settings,"1 Insulin, all formulations, all routes of administration (e.g., Subcutaneous, IV).",True,True,True,True,True,VERIFIED,All 5 direct support checks pass. Excerpt explicitly designates all insulin formulations as High Alert on Page 10.
high_alert,enoxaparin,Antithrombotic agents (LMWH),warning,egypt_high_alert_medications_2025.pdf,6,High Alert Medication List in Acute Care,High Alert Medication List in Acute Care,"6 Antithrombotic agents Examples: Low molecular weight heparin (Enoxaparin), Unfractionated heparin IV, Direct thrombin inhibitors.",True,True,True,True,True,VERIFIED,All 5 direct support checks pass. Excerpt explicitly names Enoxaparin under Antithrombotic High Alert on Page 6.
high_alert,capecitabine,Chemotherapeutic agents,warning,egypt_high_alert_medications_2025.pdf,11,High Alert Medication List in Community/Ambulatory Care Settings,High Alert Medication List in Community/Ambulatory Care Settings,"2 Chemotherapeutic agents, excluding hormonal therapy: Oral and parenteral chemotherapy (e.g., capecitabine, cyclophosphamide).",True,True,True,True,True,VERIFIED,All 5 direct support checks pass. Excerpt explicitly names Capecitabine under Chemotherapy High Alert on Page 11.
do_not_crush,aspocid 81,Enteric-coated,contraindicated,egypt_do_not_crush_medications_2026.pdf,7,Enteric-Coated Formulations,Enteric-Coated Formulations,Enteric-coated tablets: Designed to pass through the stomach intact and dissolve in the intestine. Crushing destroys the protective coating.,False,True,True,True,False,PARTIALLY_VERIFIED,"Downgraded: Formulation rule is verified, but Aspocid 81 brand name is not in the EDA document. Fails direct_drug_a_support for product-specific rule."
do_not_crush,nitroglycerin sublingual,Sublingual/buccal,contraindicated,egypt_do_not_crush_medications_2026.pdf,8,Sublingual and Buccal Dosage Forms,Sublingual and Buccal Dosage Forms,Sublingual or buccal tablets: Formulated to release drug for direct absorption through oral mucosa. Swallowing or crushing leads to loss of efficacy.,False,True,True,True,False,PARTIALLY_VERIFIED,"Downgraded: Formulation rule is verified, but specific nitroglycerin sublingual product entry is not in the excerpt. Fails direct_drug_a_support."
allergy,amoxicillin,penicillin,contraindicated,egypt_antimicrobial_formulary_2023.pdf,371,Amoxicillin,Contraindications,"Amoxicillin ... Contraindications: Serious hypersensitivity to amoxicillin or to other beta-lactams, or any component of the formulation.",True,True,True,True,True,VERIFIED,All 5 direct support checks pass. Excerpt explicitly contraindicates Amoxicillin in patients with beta-lactam/penicillin hypersensitivity on Page 371.
allergy,sulfamethoxazole,sulfonamides,contraindicated,egypt_antimicrobial_formulary_2023.pdf,346,Sulfamethoxazole and Trimethoprim,Contraindications,"Sulfamethoxazole and Trimethoprim ... Contraindications: Hypersensitivity to trimethoprim or sulfonamides, or any component of the formulation.",True,True,True,True,True,VERIFIED,All 5 direct support checks pass. Excerpt explicitly contraindicates Sulfamethoxazole in sulfonamide hypersensitivity on Page 346.
