rule_type,drug_a,drug_b_or_condition,old_status,verified_status,final_status,source_file,source_page,source_section,exact_evidence_excerpt,scope_notes,verification_status,verification_notes
drug_disease,ibuprofen,chronic_kidney_disease,warning,warning,warning,egypt_antimicrobial_formulary_2023.pdf,164,Warnings / Renal Impairment,Use with caution in patients with renal dysfunction or in patients at risk of renal toxicity (including concurrent nephrotoxic agents or NSAIDs).,"General class warning for NSAIDs in renal dysfunction mentioned across combination monographs, but individual ibuprofen monograph is not in cardiovascular formulary.",PARTIALLY_VERIFIED,Partially verified as class caution in renal risk; individual monograph not present on claimed page.
drug_disease,ibuprofen,peptic_ulcer_disease,contraindicated,contraindicated,contraindicated,egypt_gastrointestinal_formulary_2025.pdf,18,Peptic Ulcer Disease Management,NSAID-associated ulceration requires discontinuation of NSAID therapy or concurrent gastroprotective co-therapy.,"GI formulary details NSAID ulcer risk under PPI indications, but standalone OTC ibuprofen monograph is separate.",PARTIALLY_VERIFIED,"Supported by ulcer management guidelines, but exact claimed table not present on page 78."
drug_disease,ibuprofen,asthma,caution,caution,caution,egypt_respiratory_formulary_2026.pdf,24,Asthma / AERD Precautions,Patients with asthma sensitive to aspirin or other NSAIDs should avoid all nonsteroidal anti-inflammatory drugs.,Specific to aspirin/NSAID-sensitive asthma subset (AERD).,PARTIALLY_VERIFIED,Applies specifically to aspirin-sensitive asthmatic patients; requires qualifier.
drug_disease,dexamethasone,diabetes_mellitus,caution,caution,caution,egypt_endocrine_formulary_2024.pdf,153,Adverse Drug Reactions / Endocrine & Metabolic,Hyperglycemia: may provoke new-onset hyperglycemia in patients without a history of diabetes or worsen pre-existing diabetes.,Directly supported in Dexamethasone endocrine monograph.,VERIFIED,Source confirmed at page 153. Supports caution status for diabetic patients.
drug_disease,propranolol,asthma,contraindicated,contraindicated,contraindicated,egypt_cardiovascular_formulary_2024.pdf,122,Contraindications,Contraindications: Asthma or severe chronic obstructive pulmonary disease; sinus bradycardia; cardiogenic shock.,Exact contraindication in Propranolol monograph.,VERIFIED,Source confirmed at page 122. Supports contraindicated status.
drug_disease,pseudoephedrine,hypertension,warning,unsupported,warning,egypt_cardiovascular_formulary_2024.pdf,140,N/A,N/A,"Page 140 in cardiovascular formulary contains Digoxin/Cardiac Glycosides, not pseudoephedrine.",NOT_VERIFIED,Claimed source and page do not contain pseudoephedrine monograph.
drug_disease,metformin,chronic_kidney_disease,warning,contraindicated,contraindicated,egypt_endocrine_formulary_2024.pdf,32,Dosing: Renal Impairment: Adult,eGFR <30 mL/minute/1.73 m2: Use is contraindicated.,"Contraindicated specifically at eGFR < 30 mL/min/1.73m2 (severe renal impairment), not all CKD stages.",PARTIALLY_VERIFIED,"Source confirmed at page 32, but rule is partially verified pending schema numerical qualifier (eGFR < 30)."
drug_drug,sildenafil,nitroglycerin,contraindicated,contraindicated,contraindicated,egypt_cardiovascular_formulary_2024.pdf,71,Contraindications,"Concurrent use with phosphodiesterase inhibitors (Sildenafil, Tadalafil, Vardenafil, or Avanafil).",Explicitly contraindicated in Isosorbide Dinitrate monograph.,VERIFIED,Source confirmed at page 71. Directly supports contraindicated status.
drug_drug,warfarin,ibuprofen,warning,warning,warning,egypt_blood_disorders_formulary_2025.pdf,12,Drug Interactions / Anticoagulants,Concomitant use of anticoagulants with antiplatelet agents or NSAIDs increases the risk of bleeding.,Broad anticoagulant class bleeding risk interaction.,PARTIALLY_VERIFIED,"Supports bleeding warning for class, but claimed page 35 was incorrect."
drug_drug,methotrexate,ibuprofen,warning,warning,warning,egypt_conventional_anticancer_formulary_2024.pdf,89,Drug Interactions / Antifolates,Caution is advised if NSAIDs are coadministered with antifolates due to reduced renal clearance.,Documented in antifolate anticancer monograph.,PARTIALLY_VERIFIED,Supported under antifolate precautions; claimed page 64 corrected to page 89.
