generic_name,dosage_form_raw,dosage_form_normalized,route,source_file,source_page,device_category,technique_category,exact_device_name,verification_status,notes,action,review_status,resolved_device_class,review_notes
Clotrimazole,Aerosol 1% Solution 1%,inhalation_aerosol,"Topical, inhalation, intravaginal",egypt_antimicrobial_formulary_2023.pdf,434,inhaler,pmdi_inhaler,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",remove,not_exact_device_candidate,,Topical dosage form; not a respiratory inhaler.
Clotrimazole,Topical powder 1%,powder,"Topical, inhalation, intravaginal",egypt_antimicrobial_formulary_2023.pdf,434,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",remove,not_exact_device_candidate,,Topical dosage form; not a respiratory inhaler.
Clotrimazole,Topical spray 10mg/ml,topical_spray,"Topical, inhalation, intravaginal",egypt_antimicrobial_formulary_2023.pdf,434,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",remove,not_exact_device_candidate,,Topical dosage form; not a respiratory inhaler.
Terbinafine,Topical Aerosol Powder: 1%,inhalation_aerosol,"Topical, Oral",egypt_antimicrobial_formulary_2023.pdf,448,inhaler,pmdi_inhaler,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",remove,not_exact_device_candidate,,Topical aerosol powder; not a respiratory inhaler.
Tiotropium,Dry powder in hard capsule: 18 mcg,capsule,Oral Inhalation,egypt_antiretroviral_formulary_2026.pdf,33,inhaler,dpi_inhaler,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_device_unresolved,capsule DPI,18 mcg capsule DPI; generic EDA row does not identify the commercial device.
Formoterol,12 mcg in combination with 400 mcg budesonide,12_mcg_in_combination_with_400_mcg_budesonide,Oral Inhalation,egypt_antiretroviral_formulary_2026.pdf,42,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_device_unresolved,inhaler product-dependent,Combination/strength alone does not uniquely identify the device.
Formoterol,6 mcg in combination with 200 mcg budesonide,6_mcg_in_combination_with_200_mcg_budesonide,Oral Inhalation,egypt_antiretroviral_formulary_2026.pdf,42,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_device_unresolved,inhaler product-dependent,Combination/strength alone does not uniquely identify the device.
Formoterol,Inhalation powder,inhalation_powder,Oral Inhalation,egypt_antiretroviral_formulary_2026.pdf,42,inhaler,dpi_inhaler,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_device_unresolved,DPI,Exact commercial DPI must be identified before mapping a device-specific video.
Formoterol,4.5 mcg (in combination with 80 mcg budesonide),4_5_mcg_in_combination_with_80_mcg_budesonide,Oral Inhalation,egypt_antiretroviral_formulary_2026.pdf,42,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_device_unresolved,inhaler product-dependent,Combination/strength alone does not uniquely identify the device.
Formoterol,4.5 mcg (in combination with 160 mcg budesonide),4_5_mcg_in_combination_with_160_mcg_budesonide,Oral Inhalation,egypt_antiretroviral_formulary_2026.pdf,42,inhaler,inhaler_unspecified,,exact_device_required,"Requires manual identification of commercial device delivery model (e.g. Turbohaler, Accuhaler, Ellipta, Respimat, Solostar, Flexpen)",keep,exact_device_unresolved,inhaler product-dependent,Combination/strength alone does not uniquely identify the device.
