usage_topic,technique_category,device_category,device_specificity,exact_device_required,number_of_medication_forms,medications,dosage_forms,routes,suggested_video_scope,verification_status,notes
eye_drop_usage,eye_drops,ophthalmic,generic_technique,false,13,Azithromycin; Cetirizine; Chloramphenicol; Ciprofloxacin; Ganciclovir; Gatifloxacin; Levofloxacin; Lomefloxacin; Moxifloxacin; Norfloxacin; Ofloxacin; Sodium Fusidate/ Fusidic acid; Tobramycin,eye_drops; eye_ointment; tablet,"IV,  IM, ophthalmic; IV, Oral, Ophthalmic solution; Ophthalmic; Ophthalmic, Inhalation; Oral ,Ophthalmic; Oral IV Topical Ophthalmic; Oral,  Opthalmic, IV; Oral, IV, Ophthalmic; Oral, Ophthalmic; Oral, ophthalmic, IV; Oral, topical, Opthalmic; Parenteral, Oral, ophthalmic",eye_drop_usage,generic_technique_verified,"Unified instructional video covering standard eye drop instillation, head tilt, conjunctival sac pouching, and nasolacrimal occlusion."
eye_ointment_usage,eye_ointment,ophthalmic,generic_technique,false,6,"Acyclovir; Ciprofloxacin; Dexamethasone; Hydrocortisone; Neomycin, Polymyxin B, and Dexamethasone; Tetracycline",capsule; eye_ointment; injection; tablet,"IM, IV, Oral, Topical Ophthalmic; Oral topical; Oral,  Opthalmic, IV; Oral, IM, IV, Ophthalmic, Intravitreal; Oral, Topical, IV, ophthalmic; ophthalmic",eye_ointment_usage,generic_technique_verified,Unified instructional video for ophthalmic ointment ribbon application inside the lower eyelid.
ear_drop_usage,ear_drops,otic,generic_technique,false,4,Chloramphenicol; Dexamethasone; Docusate sodium; Gentamicin,ear_drops; ears_drops,"IV, IM, Topical, Opthalmic; Oral IV Topical Ophthalmic; Oral, IM, IV, Ophthalmic, Intravitreal; Oral, Rectal, Otic",ear_drop_usage,generic_technique_verified,"Unified instructional video for otic drop administration, ear canal positioning, and head-tilt hold."
nasal_spray_usage,nasal_spray,nasal,generic_technique,false,10,Carbocisteine (Carbocysteine); Cyanocobalamin (Vitamin B12); Desmopressin Acetate; Fluticasone; Fluticasone Propionate; Mometasone; Mometasone Furoate Monohydrat; Triamcinolone; Xylometazoline,nasal_spray,"IM, Nasal, Oral; Intra-muscular, Intra-articular, Intralesional, Oral, Nasal, Topical; Intranasal, intranasal inhalation, oral inhalation, topical; Nasal; Nasal, Topical, Inhalation; Oral, nasal spray; Subcutaneous, Intramuscular, Intravenous, Oral, Sublingual, Nasal; Topical",nasal_spray_usage,generic_technique_verified,"Unified instructional video for nasal spray pump priming, head tilt posture, and spray direction."
nasal_drop_usage,nasal_drops,nasal,generic_technique,false,2,Fluticasone; Xylometazoline,nasal_drops,"Intranasal, intranasal inhalation, oral inhalation, topical; Nasal",nasal_drop_usage,generic_technique_verified,Unified instructional video for nasal drops administration and proper head positioning (Mygind position).
suppository_usage,suppository,rectal,generic_technique,false,26,Acetylsalicylic acid; As in insert leaflet in children aged 1 - 5 years (10 - 18 Kg).; As in insert leaflet in children weighing between 14 Kg and 28; Bisacodyl; Bromocriptine; Chloramphenicol; Clindamycin; Diazepam; Domperidone; Econazole; Ethinyl Estradiol and Etonogestrel; Glycerin; Guaifenesin; Hyoscine-N-butyl bromide/ Scopolamine butylbromide; Isoconazole; Mesalazine (Mesalamine); Metoclopramide; Metronidazole; Miconazole; Nystatin; Ondansetron; Progesterone,kg_approximately_2_to_9_years_of_age; suppository; vaginal_suppository,"IM, IV, Oral, Rectal; IV, Oral, rectal, intravaginal; Oral IV IM intravaginal; Oral IV Topical Ophthalmic; Oral Topical; Oral, Parenteral, Rectal; Oral, Rectal; Oral, Rectal, Parenteral; Oral, Vaginal; Oral, rectal; Oral; Vaginal; I.M, Rectal; Rectal; Topical; Topical , Intravaginal, oral; Topical, intravaginal; Topical, vaginal; Vaginal",suppository_usage,generic_technique_verified,"Unified instructional video for suppository unwrapping, insertion, lateral positioning, and retention."
transdermal_patch_usage,transdermal_patch,transdermal,generic_technique,false,4,Granisetron; Lidocaine; Nitroglycerin (Glyceryl Trinitrate),transdermal_patch,"IM, IV, SC, Topical, oral; IV, Oral, Transdermal; IV, Oral, Transdermal, topical",transdermal_patch_usage,generic_technique_verified,"Unified instructional video for transdermal patch site selection, skin cleansing, adhesion, and rotation."
nebulizer_usage,nebulizer,nebulizer,generic_technique,false,9,Budesonide; Colistimethate; Formoterol; Ipratropium Bromide; Salbutamol; Terbutaline; Tobramycin,nebulizer_solution; oral_suspension; oral_syrup; tablet,"Ophthalmic, Inhalation; Oral Inhalation; Oral Inhalation, Oral, Rectal, Nasal Inhalation; Oral, Oral Inhalation, Parenteral; Oral, inhalation; Parentral, Oral",nebulizer_usage,generic_technique_verified,"Unified instructional video for nebulizer medication cup filling, mask/mouthpiece assembly, and compressor operation."
subcutaneous_self_injection_usage,self_injection,self_injection,generic_technique,false,12,Denosumab; Dulaglutide; Emicizumab; Follitropin Alfa; Goserelin; Liraglutide; Pegfilgrastim; Semaglutide,150mg_ml; implant_with_applicator; injection,"Oral, SC; SC; Subcutaneous",subcutaneous_self_injection_usage,generic_technique_verified,"Unified instructional video for standard subcutaneous injection technique (skin pinch, 45/90 degree angle, injection site rotation)."
exact_device_pending,pmdi_inhaler,inhaler,exact_device_required,true,7,Beclomethasone Dipropionate; Betamethasone; Budesonide; Clotrimazole; Lidocaine; Terbinafine,inhalation_aerosol; nasal_spray,"IM, IV, SC, Topical, oral; Nasal, oral spray, topical; Oral Inhalation, Oral, Rectal, Nasal Inhalation; Oral, IV, IM, Topical, intra-articular, intralesional; Topical, Oral; Topical, inhalation, intravaginal",pmdi_usage (device-specific),exact_device_required,Pressurized metered-dose inhalers requiring exact device / spacer technique verification.
exact_device_pending,dpi_inhaler,inhaler,exact_device_required,true,4,Fluticasone; Formoterol; Salbutamol; Tiotropium,capsule; inhalation_powder,"Intranasal, intranasal inhalation, oral inhalation, topical; Oral Inhalation; Oral, Oral Inhalation, Parenteral",dpi_usage (Turbohaler / Accuhaler / Ellipta / Breezhaler pending),exact_device_required,Dry powder inhalers requiring specific commercial device technique verification.
