rule_type,drug_a,drug_b_or_condition,current_status,claimed_source,claimed_page,claimed_excerpt,verification_status,notes
drug_disease,ibuprofen,chronic_kidney_disease,warning,egypt_cardiovascular_formulary_2024.pdf,44,"NSAIDs can cause a dose-dependent reduction in prostaglandin synthesis and secondary renal blood flow reduction.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
drug_disease,ibuprofen,peptic_ulcer_disease,contraindicated,egypt_gastrointestinal_formulary_2025.pdf,78,"Active peptic ulceration, history of gastrointestinal bleeding or perforation related to previous NSAID therapy.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
drug_disease,ibuprofen,asthma,caution,egypt_respiratory_formulary_2026.pdf,12,"Use with caution in patients with bronchial asthma due to the risk of bronchospasm.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
drug_disease,dexamethasone,diabetes_mellitus,caution,egypt_endocrine_formulary_2024.pdf,115,"Corticosteroids may increase blood glucose concentrations. Adjustment of antidiabetic therapy may be necessary.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
drug_disease,propranolol,asthma,contraindicated,egypt_cardiovascular_formulary_2024.pdf,92,"Contraindicated in patients with asthma or history of obstructive airway disease.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
drug_disease,pseudoephedrine,hypertension,warning,egypt_cardiovascular_formulary_2024.pdf,140,"Decongestants with alpha-agonist activity are contraindicated or should be used with extreme caution in severe or uncontrolled hypertension.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
drug_disease,metformin,chronic_kidney_disease,warning,egypt_endocrine_formulary_2024.pdf,58,"Contraindicated in severe renal impairment (eGFR < 30 mL/min/1.73m2) due to the risk of lactic acidosis.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
drug_drug,sildenafil,nitroglycerin,contraindicated,egypt_cardiovascular_formulary_2024.pdf,82,"Contraindicated: Concomitant administration of organic nitrates in any form with PDE-5 inhibitors.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
drug_drug,warfarin,ibuprofen,warning,egypt_blood_disorders_formulary_2025.pdf,35,"NSAIDs inhibit platelet function and increase INR instability, predisposing to major gastrointestinal bleeding.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
drug_drug,methotrexate,ibuprofen,warning,egypt_conventional_anticancer_formulary_2024.pdf,64,"Severe and sometimes fatal bone marrow suppression reported with concomitant administration of NSAIDs and methotrexate.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
drug_drug,clarithromycin,simvastatin,warning,egypt_antimicrobial_formulary_2023.pdf,112,"Macrolides strongly inhibit CYP3A4 metabolism of simvastatin/atorvastatin, risking severe rhabdomyolysis.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
drug_drug,clopidogrel,omeprazole,caution,egypt_cardiovascular_formulary_2024.pdf,120,"Concomitant use of omeprazole significantly reduces antiplatelet activity of clopidogrel.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
drug_drug,spironolactone,captopril,caution,egypt_cardiovascular_formulary_2024.pdf,98,"Monitor serum potassium closely when combining aldosterone antagonists with ACE inhibitors or ARBs.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
high_alert,insulin,Insulins (All Formulations),warning,egypt_high_alert_medications_2025.pdf,4,"High-Alert Medication: Subcutaneous and IV insulins carry a heightened risk of causing severe hypoglycemia.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
high_alert,warfarin,Anticoagulants / Antithrombotics,warning,egypt_high_alert_medications_2025.pdf,7,"High-Alert Medication: Anticoagulants carry a heightened risk of major hemorrhage.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
high_alert,methotrexate,Chemotherapy / Antineoplastic Agents,warning,egypt_high_alert_medications_2025.pdf,11,"High-Alert Medication: Cytotoxic chemotherapy requires specialized oncology verification.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
high_alert,digoxin,Cardiac Glycosides / Narrow Therapeutic Index,warning,egypt_high_alert_medications_2025.pdf,16,"High-Alert Medication: Digoxin has a narrow therapeutic window.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
do_not_crush,glucophage xr,Modified/Extended-release,contraindicated,egypt_do_not_crush_medications_2026.pdf,6,"Modified/Extended-release oral dosage form: Crushing or chewing destroys the release-controlling matrix.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
do_not_crush,aspocid 81,Enteric-coated,contraindicated,egypt_do_not_crush_medications_2026.pdf,12,"Enteric-coated oral dosage form: Crushing destroys the protective coating.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
do_not_crush,nitroglycerin sublingual,Sublingual/buccal,contraindicated,egypt_do_not_crush_medications_2026.pdf,18,"Sublingual/buccal oral dosage form: Swallowing or crushing leads to extensive first-pass hepatic metabolism.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
allergy,amoxicillin,penicillins,contraindicated,egypt_antimicrobial_formulary_2023.pdf,28,"Hypersensitivity to beta-lactam antibacterials (e.g. penicillins, cephalosporins).",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
allergy,sulfamethoxazole,sulfonamides,contraindicated,egypt_antimicrobial_formulary_2023.pdf,28,"Known hypersensitivity to sulfonamides.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
allergy,ibuprofen,nsaids,contraindicated,egypt_respiratory_formulary_2026.pdf,12,"History of hypersensitivity reaction to acetylsalicylic acid or other NSAIDs.",needs_source_verification,Legacy prototype rule from safety engine v1; awaiting programmatic source verification against original EDA PDF
