canonical_generic_name,brand_name,alias,language,country,source,verified,active
ibuprofen,Brufen,brufen,en,EG,egypt_formulary,True,True
ibuprofen,Brufen,بروفين,ar,EG,egypt_formulary,True,True
ibuprofen,Brufen,بروفين فوار,ar,EG,egypt_formulary,True,True
ibuprofen,Advil,advil,en,US,egypt_formulary,True,True
ibuprofen,Advil,ادفل,ar,EG,egypt_formulary,True,True
ibuprofen,Advil,ادفيل,ar,EG,egypt_formulary,True,True
ibuprofen,Motrin,motrin,en,US,egypt_formulary,True,True
ibuprofen,,ibuprofen,en,EG,eda_monograph,True,True
ibuprofen,,ايبوبروفين,ar,EG,eda_monograph,True,True
ibuprofen,,إيبوبروفين,ar,EG,eda_monograph,True,True
paracetamol,Panadol,panadol,en,EG,egypt_formulary,True,True
paracetamol,Panadol,بانادول,ar,EG,egypt_formulary,True,True
paracetamol,Panadol,بنادول,ar,EG,egypt_formulary,True,True
paracetamol,Panadol,بنادول ازرق,ar,EG,egypt_formulary,True,True
paracetamol,Panadol,بنادول احمر,ar,EG,egypt_formulary,True,True
paracetamol,Panadol,بنادol اكسترا,ar,EG,egypt_formulary,True,True
paracetamol,Abimol,abimol,en,EG,egypt_formulary,True,True
paracetamol,Abimol,ابيمول,ar,EG,egypt_formulary,True,True
paracetamol,Paramol,paramol,en,EG,egypt_formulary,True,True
paracetamol,Paramol,بارامول,ar,EG,egypt_formulary,True,True
paracetamol,Cetamol,cetamol,en,EG,egypt_formulary,True,True
paracetamol,Tylenol,tylenol,en,US,egypt_formulary,True,True
paracetamol,Tylenol,تايلينول,ar,EG,egypt_formulary,True,True
paracetamol,,paracetamol,en,EG,eda_monograph,True,True
paracetamol,,باراسيتامول,ar,EG,eda_monograph,True,True
paracetamol,,acetaminophen,en,US,eda_monograph,True,True
diclofenac,Cataflam,cataflam,en,EG,egypt_formulary,True,True
diclofenac,Cataflam,كتفلام,ar,EG,egypt_formulary,True,True
diclofenac,Cataflam,كاتافلام,ar,EG,egypt_formulary,True,True
diclofenac,Voltaren,voltaren,en,EG,egypt_formulary,True,True
diclofenac,Voltaren,فولتارين,ar,EG,egypt_formulary,True,True
diclofenac,Diclac,diclac,en,EG,egypt_formulary,True,True
diclofenac,Diclac,ديكلاك,ar,EG,egypt_formulary,True,True
diclofenac,Olfen,olfen,en,EG,egypt_formulary,True,True
diclofenac,Olfen,اولفين,ar,EG,egypt_formulary,True,True
diclofenac,Adwiflam,adwiflam,en,EG,egypt_formulary,True,True
diclofenac,Adwiflam,ادويفلام,ar,EG,egypt_formulary,True,True
diclofenac,,diclofenac,en,EG,eda_monograph,True,True
diclofenac,,ديكلوفيناك,ar,EG,eda_monograph,True,True
amoxicillin,Augmentin,augmentin,en,EG,egypt_formulary,True,True
amoxicillin,Augmentin,اوجمنتين,ar,EG,egypt_formulary,True,True
amoxicillin,Augmentin,أوجمنتين,ar,EG,egypt_formulary,True,True
amoxicillin,Amoxil,amoxil,en,EG,egypt_formulary,True,True
amoxicillin,Amoxil,اموكسيل,ar,EG,egypt_formulary,True,True
amoxicillin,Hibiotic,hibiotic,en,EG,egypt_formulary,True,True
amoxicillin,Hibiotic,هاي بيوتك,ar,EG,egypt_formulary,True,True
amoxicillin,Hibiotic,هاى بيوتك,ar,EG,egypt_formulary,True,True
amoxicillin,Curam,curam,en,EG,egypt_formulary,True,True
amoxicillin,Curam,كيورام,ar,EG,egypt_formulary,True,True
amoxicillin,,amoxicillin,en,EG,eda_monograph,True,True
amoxicillin,,اموكسيسيلين,ar,EG,eda_monograph,True,True
amoxicillin,,أموكسيسيلين,ar,EG,eda_monograph,True,True
amoxicillin,,اموكسيلين,ar,EG,eda_monograph,True,True
metformin,Glucophage,glucophage,en,EG,egypt_formulary,True,True
metformin,Glucophage,جلوكوفاج,ar,EG,egypt_formulary,True,True
metformin,Glucophage,جلوكوفاج 500,ar,EG,egypt_formulary,True,True
metformin,Glucophage,جلوكوفاج 1000,ar,EG,egypt_formulary,True,True
metformin,Cidophage,cidophage,en,EG,egypt_formulary,True,True
metformin,Cidophage,سيدوفاج,ar,EG,egypt_formulary,True,True
metformin,,metformin,en,EG,eda_monograph,True,True
metformin,,ميتفورمين,ar,EG,eda_monograph,True,True
salbutamol,Ventolin,ventolin,en,EG,egypt_formulary,True,True
salbutamol,Ventolin,فنتولين,ar,EG,egypt_formulary,True,True
salbutamol,Ventolin,فنتولين بخاخ,ar,EG,egypt_formulary,True,True
salbutamol,Ventolin,فنتولين شراب,ar,EG,egypt_formulary,True,True
salbutamol,,salbutamol,en,EG,eda_monograph,True,True
salbutamol,,سالبوتامول,ar,EG,eda_monograph,True,True
salbutamol,,albuterol,en,US,eda_monograph,True,True
budesonide/formoterol,Symbicort,symbicort,en,EG,egypt_formulary,True,True
budesonide/formoterol,Symbicort,سيمبيكورت,ar,EG,egypt_formulary,True,True
budesonide/formoterol,Symbicort,سيمبيكورت تربوهيلر,ar,EG,egypt_formulary,True,True
salmeterol/fluticasone,Seretide,seretide,en,EG,egypt_formulary,True,True
salmeterol/fluticasone,Seretide,سيريتيد,ar,EG,egypt_formulary,True,True
salmeterol/fluticasone,Seretide,سيريتيد ديسكوس,ar,EG,egypt_formulary,True,True
fluticasone/vilanterol,Relvar,relvar,en,EG,egypt_formulary,True,True
fluticasone/vilanterol,Relvar,ريلفار,ar,EG,egypt_formulary,True,True
fluticasone/vilanterol,Relvar,ريلفار إليبتا,ar,EG,egypt_formulary,True,True
tiotropium,Spiriva,spiriva,en,EG,egypt_formulary,True,True
tiotropium,Spiriva,سبيريفا,ar,EG,egypt_formulary,True,True
tiotropium,Spiriva,سبيريفا هاندي هيلر,ar,EG,egypt_formulary,True,True
tiotropium,Spiriva,سبيريفا ريسبيمات,ar,EG,egypt_formulary,True,True
tiotropium,,tiotropium,en,EG,eda_monograph,True,True
tiotropium,,تيوتروبيوم,ar,EG,eda_monograph,True,True
bisoprolol,Concor,concor,en,EG,egypt_formulary,True,True
bisoprolol,Concor,كونكور,ar,EG,egypt_formulary,True,True
bisoprolol,Concor,كونكور 5,ar,EG,egypt_formulary,True,True
bisoprolol,Concor,كونكور 2.5,ar,EG,egypt_formulary,True,True
bisoprolol,Bisocard,bisocard,en,EG,egypt_formulary,True,True
bisoprolol,Bisocard,بيسوكارد,ar,EG,egypt_formulary,True,True
bisoprolol,,bisoprolol,en,EG,eda_monograph,True,True
bisoprolol,,بيسوبرولول,ar,EG,eda_monograph,True,True
pantoprazole,Controloc,controloc,en,EG,egypt_formulary,True,True
pantoprazole,Controloc,كونترولوك,ar,EG,egypt_formulary,True,True
pantoprazole,,pantoprazole,en,EG,eda_monograph,True,True
pantoprazole,,بانتوبرازول,ar,EG,eda_monograph,True,True
esomeprazole,Nexium,nexium,en,EG,egypt_formulary,True,True
esomeprazole,Nexium,نكسيوم,ar,EG,egypt_formulary,True,True
esomeprazole,,esomeprazole,en,EG,eda_monograph,True,True
esomeprazole,,ايسوميبرازول,ar,EG,eda_monograph,True,True
omeprazole,Gastrazole,gastrazole,en,EG,egypt_formulary,True,True
omeprazole,Gastrazole,جاسترازول,ar,EG,egypt_formulary,True,True
omeprazole,,omeprazole,en,EG,eda_monograph,True,True
omeprazole,,اوميبرازول,ar,EG,eda_monograph,True,True
omeprazole,,أوميبرازول,ar,EG,eda_monograph,True,True
furosemide,Lasix,lasix,en,EG,egypt_formulary,True,True
furosemide,Lasix,لازيكس,ar,EG,egypt_formulary,True,True
furosemide,,furosemide,en,EG,eda_monograph,True,True
furosemide,,فوروسيميد,ar,EG,eda_monograph,True,True
spironolactone,Aldactone,aldactone,en,EG,egypt_formulary,True,True
spironolactone,Aldactone,الداكتون,ar,EG,egypt_formulary,True,True
spironolactone,,spironolactone,en,EG,eda_monograph,True,True
spironolactone,,سبيرونولاكتون,ar,EG,eda_monograph,True,True
captopril,Capoten,capoten,en,EG,egypt_formulary,True,True
captopril,Capoten,كابوتين,ar,EG,egypt_formulary,True,True
captopril,,captopril,en,EG,eda_monograph,True,True
captopril,,كابتوبريل,ar,EG,eda_monograph,True,True
lisinopril,Zestril,zestril,en,EG,egypt_formulary,True,True
lisinopril,Zestril,زيستريل,ar,EG,egypt_formulary,True,True
lisinopril,,lisinopril,en,EG,eda_monograph,True,True
lisinopril,,ليسينوبريل,ar,EG,eda_monograph,True,True
losartan,Cozaar,cozaar,en,EG,egypt_formulary,True,True
losartan,Cozaar,كوزار,ar,EG,egypt_formulary,True,True
losartan,,losartan,en,EG,eda_monograph,True,True
losartan,,لوسارتان,ar,EG,eda_monograph,True,True
valsartan,Diovan,diovan,en,EG,egypt_formulary,True,True
valsartan,Diovan,ديوفان,ar,EG,egypt_formulary,True,True
valsartan,,valsartan,en,EG,eda_monograph,True,True
valsartan,,فالسارتان,ar,EG,eda_monograph,True,True
amlodipine,Norvasc,norvasc,en,EG,egypt_formulary,True,True
amlodipine,Norvasc,نورفاسك,ar,EG,egypt_formulary,True,True
amlodipine,,amlodipine,en,EG,eda_monograph,True,True
amlodipine,,املوديبين,ar,EG,eda_monograph,True,True
atorvastatin,Lipitor,lipitor,en,EG,egypt_formulary,True,True
atorvastatin,Lipitor,ليبيتور,ar,EG,egypt_formulary,True,True
atorvastatin,Atormac,atormac,en,EG,egypt_formulary,True,True
atorvastatin,Atormac,اتورماك,ar,EG,egypt_formulary,True,True
atorvastatin,,atorvastatin,en,EG,eda_monograph,True,True
atorvastatin,,اتورفاستاتين,ar,EG,eda_monograph,True,True
rosuvastatin,Crestor,crestor,en,EG,egypt_formulary,True,True
rosuvastatin,Crestor,كريستور,ar,EG,egypt_formulary,True,True
