chunk_id,file,source_file,page,canonical_drug,monograph_name,section,previous_chunk_id,next_chunk_id,text,word_count
1,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,1,,,administration,-1,1,I Central Administration of Pharmaceutical Care General Administration For Drug Utilization and pharmacy Practice Egyptian National Antimicrobial Formulary Year 2023 Version No: 1.0 Issue Date: 2023,26
1,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,2,,,administration,1,1,II Table of Contents Page Content III Preface IV Egyptian Antimicrobial drug formulary manual VI Acknowledgment VII Contributors VIII List of Contents (Pharmacologically) i List of content (Alphabetically) iv List of Antibiotics in Formulary according to WHO AWaRe list v References,41
1,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,3,,,administration,1,1,"III Preface The Egyptian Antimicrobial Drug Formulary is published under the authority of the General Administration of Drug Utilization and Pharmacy Practice, Central Administration of Pharmaceutical Care , Egypt ian Drug Authority. It has been discussed within the National Rational Antimicrobial Use Committee The aims to provide pharmacists and other healthcare professionals with accessible reliable information about the available medications in the Egyptian database for making the right clinical decisions. The is a guide that should be interpreted in light of professional knowledge. The developers work to ensure that the information is as accurate and up-to-date as possible at the date of publication but knowledge and best practice change regularly. No responsibility on the work team for errors or omissions.",120
1,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,4,,,administration,1,2,IV Egyptian Antimicrobial drug formulary manual The Egyptian Antimicrobial Drug Formulary contains a list of medicines that are registered in the Egyptian database. It is designed as drug monographs classified pharmacologically and arranged alphabetically. There is a pharmacologically classified drug index at the beginning of the document and another alphabetically classified index at the end of the document. Egyptian drug formulary presents detailed practical information for health care providers about each medicine. Each monograph includes: 1. Generic name 2. Dosage form/strengths available in Egypt from the EDA database 3. Route of administration 4. Pharmacological category and ATC code 5. Indications: labeled indications 6. For antibiotics: includes category from AWaRe list: • Acess: This group includes antibiotics that have activity against a wide range of commonly encountered susceptible pathogens while also showing lower resistance potential than antibiotics in the other groups. • Watch: This group includes antibiotic classes with higher resistance,150
2,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,4,,,administration,1,1,a wide range of commonly encountered susceptible pathogens while also showing lower resistance potential than antibiotics in the other groups. • Watch: This group includes antibiotic classes with higher resistance potential and includes most of the highest priority agents among the Critically Important Antimicrobials for Human Medicine and/or antibiotics at relatively high risk of selection of bacterial resistance. These medicines should be priori tized as key targets of stewardship programs and monitoring.,72
1,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,5,,,dosage,2,2,"V • Reserve: This group includes antibiotics and antibiotic classes that should be reserved for the treatment of confirmed or suspected infections due to multi - drug-resistant organisms. Reserve group antibiotics should be treated as ""last resort"" options. 7. Dosage regimens for adults and children 8. Dosage adjustments if needed. 9. Contraindications 10. Adverse drug reaction 11. Monitoring parameters 12. Drug Interactions: that imply avoidance or considering modifications. 13. Pregnancy and lactation 14. Administration: detailed administration information for all routes [parenteral (preparation concentrations, compatibility with diluents, infusion rate, precautions during administration), Oral (food correlation)]. Refer to the manufacturer PIL (Patient Information Leaflet) if there are other specific considerations. 15. Warnings/Precautions 16. Storage: ➢ For reconstituted vials , apply mentioned storage conditions only if prepared in aseptic techniques and ISO-controlled conditions according to USP standards, otherwise discard immediately if not used. ➢ USP develops standards for compounding medications to help ensure",150
2,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,5,,,dosage,1,1,"conditions only if prepared in aseptic techniques and ISO-controlled conditions according to USP standards, otherwise discard immediately if not used. ➢ USP develops standards for compounding medications to help ensure the patient benefit and reduce risks such as contamination, infection, or incorrect dosing. Refer to manufacturer PIL (Patient Information Leaflet) and SPC (Summary of product characteristics) if there are other specific consideraions.",62
1,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,6,,,dosage,2,2,"VI Acknowledgment Great efforts of work, research and dedication have been exerted for the development of ""The "". It would not be ever possible except with the devotion and dedication of many experts and affiliated organizations in this field. We are extremely grateful to: Prof Dr. Tamer Essam , chairman of the Egyptian Drug Authority (EDA) for encouraging and supporting this work. Dr. Shereen Abdelgawad , head of the Central Administration of Pharmaceutical Care for her support and efforts. We would like to sincerely express deep thanks to the multidisciplinary task force members who devoted their time, knowledge, and valuable comments to the development of the Egyptian National Drug Formulary. Moreover, Sincere gratitude is expressed to all experts who participated in developing the and who were so generous ly helping make this work come true. Disclaimer Any information about drugs contained within this formulary is general in nature, and does",150
2,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,6,,,dosage,1,1,"in developing the and who were so generous ly helping make this work come true. Disclaimer Any information about drugs contained within this formulary is general in nature, and does not cover all data on the medicines mentioned. The Content is not intended as medical advice for individual problems or for evaluating the risks and benefits of taking a particular drug. Refer to the product insert if there are specific considerations. Authors of the Content disclaim all responsibility for any consequence, directly or indirectly, of the use and application of any of the content on this formulary.",97
1,egypt_antimicrobial_formulary_2023.pdf,egypt_antimicrobial_formulary_2023.pdf,7,,,administration,2,2,"VII Contributors Chief editor Dr. Nesma Atef Head of unit at Drug Utilization and Pharmacy Practice General Administration-EDA Editorial Board Dr. Eman Zakaria Head of National drug lists unit at Drug Utilization and Pharmacy Practice General Administration-EDA Dr. Shimaa Nasr Head of Rational Drug Use unit at Drug Utilization and Pharmacy Practice General Administration-EDA Dr. Lobna Sami Head of Pharmaceutical care initiative unit, at Drug Utilization and Pharmacy Practice General Administration- EDA Dr. Abeer Elbehairy Head of Pharmacy development administration at Drug Utilization and Pharmacy Practice General Administration-EDA Members of the National Rational Antimicrobial Use Committee (Ordered Alphabetically) Prof. Dr. Hossam Arafa Consultant of the General Authority of Healthcare (GAH Representative) Dr. Ahmed Motawea Chief of medical supply dept. Armed Forces Medical Services Authority Prof. Dr. Maha Abdel Aziz El-touny Prof. Internal medicine ASU. IPC consultant Ministry of Interior Dr. Asaad Sadek Acting Director IPC General Directorate (MOHP Representative) Dr.",150
