generic_name,dosage_form_raw,dosage_form_normalized,route,administration_instructions,device_category,technique_category,self_use_video_relevance,device_specificity,exact_device_review_required,exact_device_name,source_file,source_page,review_status,review_notes
Gentamicin,"Eye/ear Drops 0.3%, 5mg/ml",ear_drops,"IV, IM, Topical, Opthalmic","IV, IM, Topical, Opthalmic 
Pharmacologic 
category 
Antibiotic, Aminoglycoside 
Systemic ATC: J01GB03 
Ophthalmic ATC: S01AA11 
Topical: D06AX07",otic,ear_drops,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,17,pending,"Ear drop administration, ear canal positioning, and head-tilt hold"
Tobramycin,Ophthalmic ointment 0.3% (3 mg/gm) Ophthalmic solution 0.3%,eye_ointment,"Ophthalmic, Inhalation","Ophthalmic, Inhalation 
Pharmacologic 
category 
Antibiotic, Aminoglycoside 
Ophthalmic ATC: S01AA12 
Inhalation ATC: J01GB01 
Indications",ophthalmic,eye_drops,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,30,pending,"Eye drop instillation, conjunctival sac pouching, and tear-duct occlusion"
Tobramycin,Inhalation Solution  300 mg/5ml,nebulizer_solution,"Ophthalmic, Inhalation","Ophthalmic, Inhalation 
Pharmacologic 
category 
Antibiotic, Aminoglycoside 
Ophthalmic ATC: S01AA12 
Inhalation ATC: J01GB01 
Indications",nebulizer,nebulizer,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,30,pending,Medical nebulizer chamber & compressor setup technique
Nystatin,Vaginal suppository 100000IU,suppository,Oral Topical,"Oral Topical 
Pharmacologic 
action 
Antifungal Agent, Oral Nonabsorbed/Partially Absorbed 
ATC (oral): A07AA02 
ATC (Topical): D01AA01 
ATC (Vaginal): G01AA01",rectal,suppository,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,75,pending,"Suppository insertion, unwrapping, position, and retention"
Acyclovir,"Vial 250mg, 500mg eye ointment 3%",injection,"Oral, Topical, IV, ophthalmic","Oral, Topical, IV, ophthalmic 
 
Pharmacologic 
action 
Antiviral 
ATC (Topical): D06BB03 
ATC (systemic): J05AB01",ophthalmic,eye_ointment,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,156,pending,Eye ointment ribbon application along the lower eyelid
Ganciclovir,Ophthalmic drops  0.150 gm/100g,eye_drops,"IV,  IM, ophthalmic","IV,  IM, ophthalmic 
Pharmacologic 
action 
Antiviral Agent 
ATC (Systemic): J05AB06 
ATC (Ophthamic): S01AD09 
Indications",ophthalmic,eye_drops,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,176,pending,"Eye drop instillation, conjunctival sac pouching, and tear-duct occlusion"
Azithromycin,Eye drops 1%,eye_drops,"Parenteral, Oral, ophthalmic","Parenteral, Oral, ophthalmic 
Pharmacologic 
action 
Antibiotic, Macrolide 
Systemic ATC: J01FA10 
Opthalmic ATC: S01AA26 
Indications",ophthalmic,eye_drops,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,290,pending,"Eye drop instillation, conjunctival sac pouching, and tear-duct occlusion"
Chloramphenicol,Eye drops 0.5%,eye_drops,Oral IV Topical Ophthalmic,"Oral IV Topical Ophthalmic 
Pharmacologic 
category 
Antibiotic, Miscellaneous 
ATC (Topical, dermatological): D06AX02  
ATC (Systemic): J01BA01  
ATC (Ophthalmic): S01AA01, S03AA08",ophthalmic,eye_drops,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,307,pending,"Eye drop instillation, conjunctival sac pouching, and tear-duct occlusion"
Chloramphenicol,Ears drops 5%,ears_drops,Oral IV Topical Ophthalmic,"Oral IV Topical Ophthalmic 
Pharmacologic 
category 
Antibiotic, Miscellaneous 
ATC (Topical, dermatological): D06AX02  
ATC (Systemic): J01BA01  
ATC (Ophthalmic): S01AA01, S03AA08",otic,ear_drops,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,307,pending,"Ear drop administration, ear canal positioning, and head-tilt hold"
Chloramphenicol,Suppository 500mg,suppository,Oral IV Topical Ophthalmic,"Oral IV Topical Ophthalmic 
Pharmacologic 
category 
Antibiotic, Miscellaneous 
ATC (Topical, dermatological): D06AX02  
ATC (Systemic): J01BA01  
ATC (Ophthalmic): S01AA01, S03AA08",rectal,suppository,yes,generic_technique,false,,egypt_antimicrobial_formulary_2023.pdf,307,pending,"Suppository insertion, unwrapping, position, and retention"
