question_id,query,canonical_retrieval_query,expected_drug,expected_document,expected_page,expected_section,language,dense_rank_k50,bm25_rank_k50,rrf_rank,final_rerank_rank,primary_failure_classification
3,What precautions should be taken when prescribing Dexamethasone in diabetic patients?,What precautions should be taken when prescribing Dexamethasone in diabetic patients?,dexamethasone,egypt_endocrine_formulary_2024.pdf,153,warnings,en,>50,>50,>50,>5,A/B: expected chunk never enters candidates at K=20
5,Which drugs significantly interact with Warfarin increasing bleeding risks?,Which drugs significantly interact with Warfarin increasing bleeding risks?,warfarin,egypt_blood_disorders_formulary_2025.pdf,68,drug_interactions,en,7,39,12,>5,D: reaches reranker but reranker demotes below Top 5
6,What dosage forms and strengths are available for Omeprazole in gastrointestinal therapy?,What dosage forms and strengths are available for Omeprazole in gastrointestinal therapy?,omeprazole,egypt_gastrointestinal_formulary_2025.pdf,74,dosage_forms,en,8,>50,13,>5,B: expected chunk missing in BM25 candidates
7,How should oral Methotrexate be administered for rheumatologic conditions?,How should oral Methotrexate be administered for rheumatologic conditions?,methotrexate,egypt_conventional_anticancer_formulary_2024.pdf,77,administration,en,4,>50,8,>5,B: expected chunk missing in BM25 candidates
8,Why is Insulin classified as a high-alert medication according to Egyptian safety standards?,Why is Insulin classified as a high-alert medication according to Egyptian safety standards?,insulin,egypt_high_alert_medications_2025.pdf,11,high_alert,en,32,5,11,>5,D: reaches reranker but reranker demotes below Top 5
9,Why are extended release tablets on the do-not-crush list?,Why are extended release tablets on the do-not-crush list?,extended_release,egypt_do_not_crush_medications_2026.pdf,1,do_not_crush,en,9,7,8,>5,D: reaches reranker but reranker demotes below Top 5
10,What is the maximum daily OTC dose of Paracetamol for adults?,What is the maximum daily OTC dose of Paracetamol for adults?,paracetamol,egypt_otc_drug_list_2026.pdf,12,dosage,en,41,23,>50,>5,C: candidate enters pool but RRF ranks too low
11,What are the contraindications of Amoxicillin regarding penicillin hypersensitivity?,What are the contraindications of Amoxicillin regarding penicillin hypersensitivity?,amoxicillin,egypt_antimicrobial_formulary_2023.pdf,371,contraindications,en,9,13,16,>5,D: reaches reranker but reranker demotes below Top 5
13,What adverse reactions are associated with Ciprofloxacin and tendon rupture?,What adverse reactions are associated with Ciprofloxacin and tendon rupture?,ciprofloxacin,egypt_antimicrobial_formulary_2023.pdf,406,adverse_reactions,en,29,39,>50,>5,C: candidate enters pool but RRF ranks too low
14,What are the drug interactions between Spironolactone and ACE inhibitors?,What are the drug interactions between Spironolactone and ACE inhibitors?,spironolactone,egypt_cardiovascular_formulary_2024.pdf,182,drug_interactions,en,15,46,26,>5,C: candidate enters pool but RRF ranks too low
15,What precautions are required when monitoring Enoxaparin in high alert settings?,What precautions are required when monitoring Enoxaparin in high alert settings?,enoxaparin,egypt_high_alert_medications_2025.pdf,7,warnings,en,>50,12,21,>5,A: expected chunk missing in Dense candidates
19,What are the adverse effects of oral Furosemide on electrolyte balance?,What are the adverse effects of oral Furosemide on electrolyte balance?,furosemide,egypt_cardiovascular_formulary_2024.pdf,165,adverse_reactions,en,17,19,4,>5,D: reaches reranker but reranker demotes below Top 5
21,What are the contraindications for Ibuprofen in peptic ulcer disease?,What are the contraindications for Ibuprofen in peptic ulcer disease?,ibuprofen,egypt_otc_drug_list_2026.pdf,15,contraindications,en,20,17,34,>5,C: candidate enters pool but RRF ranks too low
